team_id,icpc_id
nwq1107791,1107791
nwq1107792,1107792
nwq1107853,1107853
nwq1107854,1107854
nwq1107881,1107881
nwq1107891,1107891
nwq1107892,1107892
nwq1107893,1107893
nwq1107902,1107902
nwq1107903,1107903
nwq1107904,1107904
nwq1107913,1107913
nwq1107914,1107914
nwq1107919,1107919
nwq1107925,1107925
nwq1107926,1107926
nwq1107930,1107930
nwq1107939,1107939
nwq1107945,1107945
nwq1107946,1107946
nwq1107949,1107949
nwq1107958,1107958
nwq1107982,1107982
nwq1107984,1107984
nwq1107987,1107987
nwq1107988,1107988
nwq1107989,1107989
nwq1108139,1108139
nwq1108208,1108208
nwq1108219,1108219
nwq1108286,1108286
nwq1108287,1108287
nwq1108292,1108292
nwq1108302,1108302
nwq1108303,1108303
nwq1108304,1108304
nwq1108309,1108309
nwq1108324,1108324
nwq1108386,1108386
nwq1108387,1108387
nwq1108476,1108476
nwq1108478,1108478
nwq1108480,1108480
nwq1108494,1108494
nwq1108498,1108498
nwq1108499,1108499
nwq1108500,1108500
nwq1108502,1108502
nwq1108508,1108508
nwq1108511,1108511
nwq1108539,1108539
nwq1108906,1108906
nwq1109254,1109254
nwq1109257,1109257
nwq1109770,1109770
