2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./admin/{...}/(method:GET).200, count=15, m1_rate=0.07119604398180733, m5_rate=0.21553238268555272, m15_rate=0.32302985263056705, mean_rate=0.0640736627074066, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./admin/{...}/(method:GET).meter, count=15, m1_rate=0.07189504611113914, m5_rate=0.30822723157002113, m15_rate=0.47789895468336413, mean_rate=0.06402976445053016, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/adminActions/(method:GET)/(header:Connection = Upgrade)/(header:Upgrade = websocket).101, count=3, m1_rate=0.017831370806235827, m5_rate=0.09937253320222175, m15_rate=0.15774702747474542, mean_rate=0.012814697787760884, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/adminActions/(method:GET)/(header:Connection = Upgrade)/(header:Upgrade = websocket).meter, count=4, m1_rate=0.020200456953909433, m5_rate=0.09357108282543251, m15_rate=0.15436614367673565, mean_rate=0.015586085583833079, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/fullScreenClock/(method:GET).200, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013214510093588438, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/fullScreenClock/(method:GET).meter, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212786578164631, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/queue/(method:GET).200, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013214571381113175, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/queue/(method:GET).meter, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212692078810052, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/scoreboard/(method:GET).200, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013214508218251124, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/scoreboard/(method:GET).meter, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212425063765847, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/statistics/(method:GET).200, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013214726284816783, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/statistics/(method:GET).meter, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013213352136392426, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/ticker/(method:GET).200, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013214494895385417, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/ticker/(method:GET).meter, count=3, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212598370225159, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/overlay/visualConfig.json/(method:GET).200, count=6, m1_rate=0.0436718356962117, m5_rate=0.20230198973191224, m15_rate=0.3172761640724585, mean_rate=0.026429323568800824, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls./api/overlay/visualConfig.json/(method:GET).meter, count=6, m1_rate=0.0436718356962117, m5_rate=0.20230198973191224, m15_rate=0.3172761640724585, mean_rate=0.02642540729141903, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls.exceptions, count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0, mean_rate=0.0, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls.status.101, count=3, m1_rate=0.017831370806235827, m5_rate=0.09937253320222175, m15_rate=0.15774702747474542, mean_rate=0.012814736959915403, rate_unit=events/second
2024-12-06 14:49:48.764 [metrics-logger-reporter-1-thread-1] INFO  Application - type=METER, name=ktor.calls.status.200, count=36, m1_rate=0.19112262472013541, m5_rate=0.2622761729098248, m15_rate=0.34317533058420596, mean_rate=0.15377694032393846, rate_unit=events/second
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./admin/{...}/(method:GET).timer, count=15, min=34.622247, max=14727.052562, mean=3169.648681758284, stddev=5762.999134542453, p50=228.590462, p75=239.077242, p95=14727.052562, p98=14727.052562, p99=14727.052562, p999=14727.052562, m1_rate=0.07119604398180733, m5_rate=0.21553238268555272, m15_rate=0.32302985263056705, mean_rate=0.06402959491369226, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/adminActions/(method:GET)/(header:Connection = Upgrade)/(header:Upgrade = websocket).timer, count=3, min=22532.920181, max=169213.495964, mean=154970.83871878762, stddev=42628.1172865818, p50=169213.495964, p75=169213.495964, p95=169213.495964, p98=169213.495964, p99=169213.495964, p999=169213.495964, m1_rate=0.013419943124768925, m5_rate=0.006405916483627951, m15_rate=0.0028400546393371837, mean_rate=0.01168952878207001, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/fullScreenClock/(method:GET).timer, count=3, min=0.870964, max=29.547969, mean=4.6485158100289095, stddev=4.625929497688746, p50=3.996375, p75=3.996375, p95=3.996375, p98=29.547969, p99=29.547969, p999=29.547969, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.0132127404979518, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/queue/(method:GET).timer, count=3, min=0.560164, max=32.233592, mean=1.9123537827803423, stddev=5.5637499150008365, p50=0.912645, p75=0.912645, p95=0.912645, p98=32.233592, p99=32.233592, p999=32.233592, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212645933791105, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/scoreboard/(method:GET).timer, count=3, min=0.6766, max=35.695611, mean=1.9999809411066622, stddev=6.226305941292767, p50=0.6766, p75=0.6766, p95=3.853456, p98=35.695611, p99=35.695611, p999=35.695611, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212381086813689, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/statistics/(method:GET).timer, count=3, min=0.673993, max=23.542118, mean=1.4415214581275841, stddev=4.05592150149904, p50=0.673993, p75=0.673993, p95=1.069901, p98=23.542118, p99=23.542118, p999=23.542118, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.01321330636888541, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/admin/(authenticate admin-api-auth)/ticker/(method:GET).timer, count=3, min=0.93669, max=32.539967, mean=2.2064321717682565, stddev=5.565741355672357, p50=1.201065, p75=1.201065, p95=1.201065, p98=32.539967, p99=32.539967, p999=32.539967, m1_rate=0.02183591784810585, m5_rate=0.10115099486595612, m15_rate=0.15863808203622926, mean_rate=0.013212548500621604, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.765 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls./api/overlay/visualConfig.json/(method:GET).timer, count=6, min=1.011029, max=33.515568, mean=2.2337896973422655, stddev=4.039245328919395, p50=1.448952, p75=2.074186, p95=2.074186, p98=2.074186, p99=33.515568, p999=33.515568, m1_rate=0.0436718356962117, m5_rate=0.20230198973191224, m15_rate=0.3172761640724585, mean_rate=0.026425309501547756, rate_unit=events/second, duration_unit=milliseconds
2024-12-06 14:49:48.766 [metrics-logger-reporter-1-thread-1] INFO  Application - type=TIMER, name=ktor.calls.duration, count=39, min=0.847325, max=169214.592546, mean=11227.049193355408, stddev=39545.52673076784, p50=4.408223, p75=229.084648, p95=169214.592546, p98=169214.592546, p99=169214.592546, p999=169214.592546, m1_rate=0.21001079503178535, m5_rate=0.08570376531703486, m15_rate=0.03725001265921659, mean_rate=0.14971598223910398, rate_unit=events/second, duration_unit=milliseconds
