org_id,icpc_id,displayName,fullName,country,url,longitude,latitude,twitter_hashtag,twitter_account,
2732,2732,Grodno SU,Yanka Kupala State University of Grodno,BLR,http://www.grsu.by,23.8362,53.6833,,
2738,2738,Yaroslavl SU,Yaroslavl State University,RUS,http://www.uniyar.ac.ru,39.89143,57.609924,,
2742,2742,Yerevan SU,Yerevan State University,ARM,https://www.ysu.am/en,44.526463,40.181946,"#YSU",YSU_official
3295,3295,SPb ITMO,St. Petersburg ITMO University,RUS,https://en.itmo.ru,30.302505,59.95851,"#ITMO",@itmo_uni
3347,3347,CFUV,V.I. Vernadsky Crimean Federal University,UKR,https://eng.cfuv.ru/,34.13489,44.9376,"#TauridaNU",
3517,3517,Ulyanovsk STU,Ulyanovsk State Technical University,RUS,https://ulstu.ru/en/,48.39001,54.351078,,
3534,3534,HSE,HSE University,RUS,https://www.hse.ru/,37.63298,55.761307,"#HSE",@HSE_eng
3535,3535,SFU,Siberian Federal University,RUS,https://sfu.ru,92.76876,56.004078,,
3556,3556,MSU Tashkent,Moscow State University - Tashkent,UZB,https://msu.uz/,37.711884,55.7822,"#Tashkent",
3617,3617,IBSU,International Black Sea University,GEO,https://ibsu.edu.ge/en/,44.77178,41.79738,"#IBSU",
3629,3629,Caucasus U,Caucasus University,GEO,https://cu.edu.ge/en,44.81107,41.70694,,
3673,3673,BEU,Baku Engineering University,AZE,http://beu.edu.az,49.72655,40.47612,,
4325,4325,SPb SUT,St. Petersburg State University of Telecommunications,RUS,http://www.sut.ru/about.en.html,30.488432,59.90197,,
4330,4330,IITU,International IT University,KAZ,https://iitu.edu.kz/en,76.90997,43.235153,"#IITU",@iitukz
5316,5316,Ural FU,Ural Federal University,RUS,https://urfu.ru/en,60.653683,56.844044,"#UralFU",@urfu
5320,5320,SPbETU,"St. Petersburg Electrotechnical University ""LETI""",RUS,http://www.eltech.ru/en/university,30.322655,59.97219,,
5324,5324,ISRU,Irkutsk State Transport University,RUS,http://www.irgups.ru,104.26128,52.270943,,
5330,5330,AUA,American University of Armenia,ARM,http://www.aua.am,44.51337,40.18265,,
5341,5341,Herzen SPU,Herzen State Pedagogical University,RUS,https://en.hspu.org/,105.318756,61.52401,,
5348,5348,AzTU,Azerbaijan Technical University,AZE,https://aztu.edu.az/en,49.815445,40.370102,,
5724,5724,Free U of Tbilisi,Free University of Tbilisi,GEO,https://freeuni.edu.ge/en/,44.768795,41.806335,"#FreeUniTbilisi",@FreeUniTbilisi
5731,5731,NArFU,Northern (Arctic) Federal University,RUS,http://narfu.ru/en,40.549225,64.529015,"#NArFU",
5796,5796,Aktobe RU,K. Zhubanov Aktobe Regional University,KAZ,https://zhubanov.edu.kz/en,57.171608,50.277367,,
5816,5816,Atyrau U,Atyrau University named after Kh. Dosmukhamedov,KAZ,https://atyrau.edu.kz/en,51.91147,47.098133,,@AsuKz
6187,6187,Westminster IU Tashkent,Westminster International University in Tashkent,UZB,https://www.wiut.uz/,69.28338,41.30698,,
6514,6514,Nazarbayev U,Nazarbayev University,KAZ,https://nu.edu.kz/en,71.39692,51.091248,"#NUedukz",@NUedukz
6535,6535,Perm HSE,HSE University Perm,RUS,https://perm.hse.ru/en/,56.226967,58.009167,,
6583,6583,NAA,National Aviation Academy,AZE,https://naa.edu.az/en/,50.067505,40.453194,,
7003,7003,Chuvash SU,Chuvash State University,RUS,http://www.chuvsu.ru,47.22438,56.145725,,
7043,7043,Makarov SU of Maritime and IS,Admiral Makarov State University of Maritime and Inland Shipping,RUS,https://gumrf.ru/en/,30.077911,59.853214,,
7118,7118,BHOS,Baku Higher Oil School,AZE,https://bhos.edu.az/en,49.8826,40.37864,"#BHOS",@bhoseduaz
7141,7141,Azerbaijan U,Azerbaijan University,AZE,https://au.edu.az/en/,49.84375,40.395424,,
7162,7162,Khazar U,Khazar University,AZE,http://www.khazar.org,49.833313,40.373352,,
7504,7504,Vologda SU,Vologda State University,RUS,https://vogu35.ru/,39.897,59.221935,,
7505,7505,SFedU (ICTIS),"Southern Federal University (ICTIS, Taganrog)",RUS,http://ictis.sfedu.ru/,105.318756,61.52401,,
7544,7544,ADA,ADA University,AZE,https://www.ada.edu.az/en,49.84938,40.3946,"#ADAUniversity",ADAUniversity
7787,7787,Skoltech,Skolkovo Institute of Science and Technology,RUS,https://skoltech.ru/,37.356995,55.697742,Skoltech,Skoltech
7851,7851,IUT,Inha University in Tashkent,UZB,http://inha.uz,69.33453,41.338524,,
7857,7857,Innopolis University,Innopolis University,RUS,https://innopolis.university,48.7434,55.7534,"#InnopolisU",@InnopolisU
7963,7963,KazNWTTU,Kazakh National Women's Teacher Training University,KAZ,https://qyzpu.edu.kz/en/,76.9298,43.258472,,@qyzdar_yniver
7983,7983,Sholom-Aleichem PSU,Sholom-Aleichem Priamursky State University,RUS,http://pgusa.ru,132.94115,48.77314,,
8482,8482,Kamchatka SU,Vitus Bering Kamchatka State University,RUS,https://kamgu.ru/en,166.7884,61.4344,,
8827,8827,Nizhny Novgorod HSE,Nizhny Novgorod Branch of HSE University,RUS,https://nnov.hse.ru/en,44.00588,56.32687,,
